imdbID;title;year;runtime;genre;released;imdbRating;imdbVotes;country
11870;Within Our Gates;1920;79 min;Drama, Romance;1920-01-12;6,3;1138;USA
11904;The Ace of Hearts;1921;75 min;Crime, Drama, Mystery;1924-04-04;7;798;USA
11908;The Adventures of Tarzan;1921;;Action, Adventure;1921-12-01;6,6;69;USA
11909;The Affairs of Anatol;1921;117 min;Comedy, Drama;1921-09-25;8;1058;USA
11960;Die Bergkatze;1921;79 min;Comedy, Drama, Romance;1921-11-30;7;599;Germany
11979;The Blot;1921;80 min;Drama;1921-09-04;6,7;288;USA
11984;The Boat;1921;26 min;Short, Comedy, Family;1921-11-10;7,2;1981;USA
12027;Camille;1921;72 min;Drama, Romance;1921-09-26;6,6;653;USA
12136;Enchantment;1921;;Comedy;1921-10-30;8,3;35;USA
12190;The Four Horsemen of the Apocalypse;1921;150 min;Drama, Romance, War;1923-03-31;7,9;2475;USA
12224;The Goat;1921;23 min;Comedy, Short;1921-05-15;7,8;2018;USA
12253;Hard Luck;1921;22 min;Short, Comedy;1921-03-14;7,1;1159;USA
12255;The Haunted House;1921;21 min;Short, Comedy, Horror;1921-02-21;7;1458;USA
12278;The 'High Sign';1921;21 min;Short, Comedy;1921-04-18;7,7;1502;USA
12281;Hintertreppe;1921;50 min;Drama;1926-04-02;7;129;Germany
12304;The Idle Class;1921;32 min;Short, Comedy;1921-09-25;7,5;2150;USA
12349;The Kid;1921;68 min;Comedy, Drama, Family;1921-02-06;8,4;56858;USA
12364;The Phantom Carriage;1921;93 min;Drama, Fantasy, Horror;1922-06-04;8,1;5731;Sweden
12408;The Love Light;1921;89 min;Drama;1921-01-09;6,7;202;USA
12465;Miss Lulu Bett;1921;71 min;Comedy, Drama;1921-11-01;7,2;204;USA
12486;My Boy;1921;55 min;Comedy, Drama;1921-12-01;6,1;202;USA
12494;Destiny;1921;114 min;Fantasy, Thriller;1922-01-30;7,7;2923;Germany
12499;Never Weaken;1921;19 min;Short, Comedy, Thriller;1921-10-22;7,7;999;USA
12512;Now or Never;1921;35 min;Comedy, Short;1921-03-27;6,8;489;USA
12532;Orphans of the Storm;1921;150 min;Drama, History;;7,9;3565;USA
12543;The Paleface;1922;20 min;Short, Comedy, Western;1922-01-01;7;1747;USA
12570;The Play House;1921;18 min;Short, Comedy, Fantasy;1921-10-06;7,8;2490;USA
12645;Mad Love;1921;82 min;Drama;1922-01-02;6,9;89;Germany
12645;Mad Love;1921;82 min;Drama;1922-01-02;6,8;91;Germany
12651;The Haunted Castle;1921;69 min;Crime, Drama, Horror;1921-04-07;6,2;731;Germany
12675;The Sheik;1921;80 min;Adventure, Drama, Romance;1921-11-20;7,3;2326;USA
12752;The Three Musketeers;1921;119 min;Action, Adventure, Romance;1921-08-28;7;501;USA
12763;Tol'able David;1921;99 min;Drama;1921-12-31;8,1;1455;USA
12881;The Adventures of Robinson Crusoe;1922;;Adventure;1922-03-27;6,3;9;USA
12938;Beyond the Rocks;1922;80 min;Drama, Romance;1922-05-07;7,8;1924;USA
12945;The Blacksmith;1922;21 min;Comedy, Short;1922-07-21;7;1491;USA
12952;Blood and Sand;1922;80 min;Drama, Romance, Sport;1922-08-05;7,3;960;USA
13025;Cops;1922;22 min;Short, Comedy, Family;1922-03-01;7,8;3738;USA
13055;Daydreams;1922;18 min;Short, Comedy;1922-11-01;6,9;1471;USA
13059;Der var engang;1922;75 min;Drama, Family, Fantasy;1922-10-03;6,6;224;Denmark
13075;Dr. Jack;1922;59 min;Comedy;1922-11-26;7,2;793;USA
13086;Dr. Mabuse: The Gambler;1922;242 min;Crime, Mystery, Thriller;1922-05-26;7,9;4765;Germany
13099;The Electric House;1922;23 min;Short, Comedy;1922-10-01;7,3;1499;USA
13134;Flesh and Blood;1922;74 min;Drama;1922-08-27;7,1;99;USA
13140;Foolish Wives;1922;117 min;Drama;1922-01-11;7,3;1777;USA
13158;The Frozen North;1922;17 min;Short, Comedy;1922-08-28;6,6;1165;USA
13201;Grandma's Boy;1922;60 min;Comedy, Family;1922-09-03;7,1;1203;USA
13257;H�xan: Witchcraft Through the Ages;1922;91 min;Documentary, Horror;1929-05-27;7,7;7134;Sweden
